,species,length
888,Bacteria,1667
889,Bacteria,1058
890,Bacteria,651
891,Bacteria,659
892,Bacteria,535
893,Bacteria,891
894,Bacteria,1697
895,Bacteria,1011
896,Bacteria,1431
897,Bacteria,1825
898,Bacteria,384
899,Bacteria,1018
900,Bacteria,1780
901,Bacteria,1698
902,Bacteria,689
903,Bacteria,721
904,Bacteria,1826
905,Bacteria,689
906,Bacteria,689
907,Bacteria,720
908,Bacteria,1710
909,Bacteria,1824
910,Bacteria,694
911,Bacteria,791
912,Bacteria,742
913,Bacteria,613
914,Bacteria,1673
915,Bacteria,1694
916,Bacteria,476
917,Bacteria,934
918,Bacteria,789
919,Bacteria,349
920,Bacteria,804
921,Bacteria,433
922,Bacteria,496
923,Eukaryota,321
924,Eukaryota,345
925,Eukaryota,707
926,Eukaryota,1984
927,Eukaryota,2187
928,Eukaryota,545
929,Eukaryota,381
930,Eukaryota,397
931,Eukaryota,293
932,Eukaryota,312
933,Eukaryota,272
934,Eukaryota,1204
935,Eukaryota,1204
936,Eukaryota,1204
937,Eukaryota,1204
938,Eukaryota,1201
939,Eukaryota,1201
940,Eukaryota,1194
941,Eukaryota,1194
942,Eukaryota,1194
943,Eukaryota,2484
944,Eukaryota,2483
945,Eukaryota,2427
946,Eukaryota,2550
947,Eukaryota,2549
948,Eukaryota,1034
949,Eukaryota,1033
950,Eukaryota,1029
951,Eukaryota,1022
952,Eukaryota,1022
953,Eukaryota,1022
954,Eukaryota,2548
955,Eukaryota,389
956,Eukaryota,834
957,Eukaryota,750
958,Eukaryota,484
959,Eukaryota,811
960,Eukaryota,738
961,Eukaryota,193
962,Eukaryota,855
963,Eukaryota,561
964,Eukaryota,431
965,Eukaryota,561
966,Eukaryota,431
967,Eukaryota,765
968,Eukaryota,88
969,Eukaryota,248
970,Eukaryota,238
971,Eukaryota,213
972,Eukaryota,202
973,Eukaryota,213
974,Eukaryota,207
975,Eukaryota,182
976,Eukaryota,1142
977,Eukaryota,1131
978,Eukaryota,1205
979,Eukaryota,1139
980,Eukaryota,1073
981,Eukaryota,1154
982,Eukaryota,230
983,Eukaryota,619
984,Eukaryota,75
985,Eukaryota,220
986,Eukaryota,150
987,Eukaryota,150
988,Eukaryota,150
989,Eukaryota,150
990,Eukaryota,150
991,Eukaryota,324
992,Eukaryota,700
993,Eukaryota,692
994,Eukaryota,658
995,Eukaryota,631
996,Eukaryota,581
997,Eukaryota,567
998,Eukaryota,538
999,Eukaryota,492
1000,Eukaryota,428
1001,Eukaryota,401
1002,Eukaryota,359
1003,Eukaryota,626
1004,Eukaryota,563
1005,Eukaryota,2554
1006,Eukaryota,2572
1007,Eukaryota,2527
1008,Eukaryota,2522
1009,Eukaryota,402
1010,Bacteria,148
1011,Bacteria,352
1012,Bacteria,428
1013,Bacteria,345
1014,Bacteria,152
1015,Bacteria,420
1016,Bacteria,439
1017,Bacteria,371
1018,Bacteria,148
1019,Bacteria,344
1020,Bacteria,150
1021,Bacteria,316
1022,Bacteria,281
1023,Bacteria,140
1024,Bacteria,424
1025,Bacteria,140
1026,Bacteria,281
1027,Bacteria,314
1028,Bacteria,150
1029,Bacteria,424
1030,Bacteria,152
1031,Bacteria,345
1032,Bacteria,375
1033,Bacteria,152
1034,Bacteria,346
1035,Bacteria,385
1036,Bacteria,351
1037,Bacteria,153
1038,Bacteria,421
1039,Bacteria,150
1040,Bacteria,344
1041,Bacteria,420
1042,Bacteria,159
1043,Bacteria,350
1044,Bacteria,425
1045,Bacteria,150
1046,Bacteria,343
1047,Bacteria,404
1048,Bacteria,150
1049,Bacteria,409
1050,Bacteria,348
1051,Bacteria,148
1052,Bacteria,350
1053,Bacteria,417
1054,Eukaryota,453
1055,Eukaryota,370
1056,Eukaryota,2543
1057,Eukaryota,1313
1058,Eukaryota,1274
1059,Eukaryota,275
1060,Eukaryota,2544
1061,Eukaryota,2543
1062,Eukaryota,2543
1063,Eukaryota,301
1064,Eukaryota,301
1065,Eukaryota,301
1066,Eukaryota,301
1067,Eukaryota,263
1068,Eukaryota,263
1069,Eukaryota,951
1070,Eukaryota,629
1071,Eukaryota,294
1072,Eukaryota,198
1073,Eukaryota,389
1074,Eukaryota,385
1075,Eukaryota,337
1076,Eukaryota,289
1077,Eukaryota,2513
1078,Eukaryota,1186
1079,Eukaryota,355
1080,Eukaryota,2541
1081,Eukaryota,537
1082,Eukaryota,517
1083,Eukaryota,555
1084,Eukaryota,748
